Категорія ;Назва об'єкта українською мовою;Код
Село;ПАВЛІВКА;1422486007
Село;ПЕТРІВКА;1422486009
Селище;ПРИЮТ;1422486011
Село;РАЙСЬКЕ;1422486013
Село;ТОРЕЦЬКЕ;1422486015
СМТ;ГРОДІВКА;1422755300
Село;ЖУРАВКА;1422755301
Село;КРАСНИЙ ЯР;1422755302
Село;КРУТИЙ ЯР;1422755303
Село;МИКОЛАЇВКА;1422755304
Село;МОСКОВСЬКЕ;1422755305
Село;ПРОМІНЬ;1422755306
СМТ;НОВОЕКОНОМІЧНЕ;1422755600
Село;БАЛАГАН;1422755601
Село;ФЕДОРІВКА;1422755602
Село;МИКОЛАЇВКА;1422755603
Село;МИХАЙЛІВКА;1422755604
Село;РАЗІНЕ;1422755605
СМТ;УДАЧНЕ;1422756300
Село;МОЛОДЕЦЬКЕ;1422756301
Село;МУРАВКА;1422756302
Село;НОВОМИКОЛАЇВКА;1422756303
Село;НОВОСЕРГІЇВКА;1422756304
Село;ГРИШИНЕ;1422781101
Село;ІВАНІВКА;1422781601
Село;ВЕСЕЛЕ;1422781602
Село;ВОВЧЕ;1422781603
Село;ЄВГЕНІВКА;1422781604
Село;ЛИСИЧНЕ;1422781605
Селище;ЛОЗУВАТСЬКЕ;1422781606
Село;НОВОТОРЕЦЬКЕ;1422781607
Село;ПРОГРЕС;1422781608
Село;СВИРИДОНІВКА;1422781609
Село;СЕРГІЇВКА;1422781610
Село;СОНЦІВКА;1422782301
Село;БЕРЕСТКИ;1422782302
Село;ЗОРЯ;1422782303
Село;НОВОДМИТРІВКА;1422782304
Село;ЛИСІВКА;1422782801
Село;ГНАТІВКА;1422782802
Село;ДАЧЕНСЬКЕ;1422782803
Село;ЗЕЛЕНЕ;1422782804
Село;НОВИЙ ТРУД;1422782805
Село;НОВОПАВЛІВКА;1422782806
Село;НОВОУКРАЇНКА;1422782807
Село;РІГ;1422782808
Село;СУХИЙ ЯР;1422782809
Селище;ЧУНИШИНЕ;1422782810
Село;МИРОЛЮБІВКА;1422783001
Село;ЄЛИЗАВЕТІВКА;1422783003
Село;МИХАЙЛІВКА;1422783201
Село;МЕМРИК;1422783206
Село;МИКОЛАЇВКА;1422783401
Село;ЗАВІТНЕ;1422783405
Село;КАЛИНОВЕ;1422783407
Село;МАРИНІВКА;1422783409
Село;НОВОЖЕЛАННЕ;1422783411
Село;ОРЛІВКА;1422783413
Селище;ПТИЧЕ;1422783415
Село;НОВООЛЕКСАНДРІВКА;1422783601
Село;БАРАНІВКА;1422783602
Село;ВОЗДВИЖЕНКА;1422783603
Село;ТИМОФІЇВКА;1422783604
Село;НОВОЄЛИЗАВЕТІВКА;1422783801
Селище;КОТЛЯРІВКА;1422783803
Селище;НАДЕЖДИНКА;1422783805
Селище;ПУШКІНЕ;1422783807
Село;НОВОТРОЇЦЬКЕ;1422784001
Село;ЖОВТЕ;1422784002
Село;НОВОВАСИЛІВКА;1422784005
Село;НОВООЛЕКСАНДРІВКА;1422784006
Село;НОВООЛЕНІВКА;1422784007
Селище;НОВОПУСТИНКА;1422784008
Село;УСПЕНІВКА;1422784010
Село;ПІЩАНЕ;1422784501
Село;ВОВКОВЕ;1422784502
Село;ЗВІРОВЕ;1422784503
Село;СОЛОНЕ;1422784504
Селище;ПЕРШЕ ТРАВНЯ;1422784701
Селище;КОТЛИНЕ;1422784703
Село;ТРОЯНДА;1422784704
Село;ПЕТРІВКА;1422785001
Село;ЮР'ЇВКА;1422785002
Село;ГРИГОРІВКА;1422785003
Село;НОВООЛЕКСІЇВКА;1422785004
Село;ПУСТИНКА;1422785005
Село;РІВНЕ;1422785701
Село;КРАСНИЙ ЛИМАН;1422785702
Село;СУХЕЦЬКЕ;1422785705
Село;СЕРГІЇВКА;1422786001
Село;КАЛИНІВКА;1422786002
Село;СРІБНЕ;1422786501
Село;БОГДАНІВКА;1422786502
Село;ЗАПОРІЖЖЯ;1422786503
Село;НОВОАНДРІЇВКА;1422786504
Село;ГОРІХОВЕ;1422786505
Село;ПРЕОБРАЖЕНКА;1422786506
Село;ТРОЇЦЬКЕ;1422786507
Село;УКРАЇНКА;1422786508
Село;ЯСЕНОВЕ;1422786509
Село;МАЛИНІВКА;1422788301
Село;МИРНЕ;1422788303
Село;ШЕВЧЕНКО ПЕРШЕ;1422788305
Місто;МАР'ЇНКА;1423310100
Село;ПОБЄДА;1423310101
Місто;КРАСНОГОРІВКА;1423310400
Місто;КУРАХОВЕ;1423310600
Селище;ОСТРІВСЬКЕ;1423310601
Селище;СТАРІ ТЕРНИ;1423310602
Село;СТЕПАНІВКА;1423310603
СМТ;ОЛЕКСАНДРІВКА;1423355300
СМТ;ІЛЛІНКА;1423355600
СМТ;СТАРОМИХАЙЛІВКА;1423356200
Село;ГАЛИЦИНІВКА;1423381101
Село;ДОЛИНІВКА;1423381102
Село;КАРЛІВКА;1423381103
Село;ЛІСІВКА;1423381104
Село;ДАЧНЕ;1423381501
Село;ГІГАНТ;1423381502
Село;ДАЛЬНЄ;1423381503
Село;ЗЕЛЕНІВКА;1423381504
Село;КОСТЯНТИНОПОЛЬСЬКЕ;1423381505
Село;СУХІ ЯЛИ;1423381506
Село;ЯНТАРНЕ;1423381507
Село;БОГОЯВЛЕНКА;1423382001
Село;ЄЛИЗАВЕТІВКА;1423382501
Село;ІЛЛІНКА;1423382502
Село;РОМАНІВКА;1423382503
Село;ЗОРЯНЕ;1423383001
Село;ЖЕЛАННЕ ПЕРШЕ;1423383002
Село;ЖЕЛАННЕ ДРУГЕ;1423383003
Село;ОЛЕКСАНДРОПІЛЬ;1423383004
Село;КАТЕРИНІВКА;1423383501
Село;АНТОНІВКА;1423383502
Село;КОСТЯНТИНІВКА;1423384001
Село;ЛУГАНСЬКЕ;1423384501
Село;КРЕМІНЕЦЬ;1423384502
Село;СИГНАЛЬНЕ;1423384503
Село;МАКСИМІЛЬЯНІВКА;1423385001
Село;ГЕОРГІЇВКА;1423385002
Село;НОВОМИХАЙЛІВКА;1423385201
Село;ПАРАСКОВІЇВКА;1423385202
Село;СЛАВНЕ;1423385203
Село;НОВОСЕЛИДІВКА;1423385401
Село;ВОВЧЕНКА;1423385402
Село;ВОЗНЕСЕНКА;1423385403
Село;ІЗМАЙЛІВКА;1423385404
Село;КРЕМІННА БАЛКА;1423385405
Село;НОВОУКРАЇНКА;1423385801
Село;МАКСИМІВКА;1423385802
Село;ПРЕЧИСТІВКА;1423385803
Село;УСПЕНІВКА;1423388501
Село;ВЕСЕЛИЙ ГАЙ;1423388502
Село;ГАННІВКА;1423388503
Село;ТРУДОВЕ;1423388504
Місто;НОВОАЗОВСЬК;1423610100
Село;ГУСЕЛЬЩИКОВЕ;1423610101
Село;КОЗЛІВКА;1423610102
Село;САМСОНОВЕ;1423610103
СМТ;СЄДОВЕ;1423655400
Селище;ОБРИВ;1423655401
Село;БЕЗІМЕННЕ;1423681101
Село;ВЕДЕНСЬКЕ;1423681102
Село;КАЧКАРСЬКЕ;1423681104
Село;МИТЬКОВО-КАЧКАРІ;1423681105
Село;РОЗА;1423681107
Село;КОЗАЦЬКЕ;1423682801
Село;ПОРОХНЯ;1423682803
Село;ШЕВЧЕНКО;1423682805
Село;ХРЕЩАТИЦЬКЕ;1423683301
Село;КУЛИКОВЕ;1423683303
Село;ВЕРХНЬОШИРОКІВСЬКЕ;1423683304
Село;ПРИМОРСЬКЕ;1423685501
Село;НАБЕРЕЖНЕ;1423685502
Село;ПЕРВОМАЙСЬКЕ;1423685503
Село;СОСНІВСЬКЕ;1423685504
Село;УКРАЇНСЬКЕ;1423685505
Село;ОЛЕКСАНДРІВСЬКЕ;1423686001
Село;ВЕСЕЛЕ;1423686003
Село;ПАТРІОТИЧНЕ;1423686005
Село;КУЗНЕЦІ;1423686007
Село;МАРКИНЕ;1423686009
Село;ХОЛОДНЕ;1423686011
Село;САМІЙЛОВЕ;1423686601
Село;ВАНЮШКИНЕ;1423686602
Село;КЛИНКИНЕ;1423686603
Село;КОВСЬКЕ;1423686604
Село;ЩЕРБАК;1423686607
Село;САХАНКА;1423686801
Село;АЗОВ;1423686803
Село;УЖІВКА;1423686805
Село;ХОМУТОВЕ;1423687701
Село;БЕССАРАБКА;1423687702
Село;ВІТАВА;1423687703
Село;СЄДОВО-ВАСИЛІВКА;1423687705
СМТ;МАНГУШ;1423955100
СМТ;ЯЛТА;1423955500
Село;АЗОВСЬКЕ;1423955501
Село;ЮР'ЇВКА;1423955502
Село;БЕРДЯНСЬКЕ;1423981101
Село;АГРОБАЗА;1423981102
Село;ПРИАЗОВСЬКЕ;1423981103
Село;ПРИМІСЬКЕ;1423981104
Село;ШЕВЧЕНКО;1423981105
Село;ПОКРОВСЬКЕ;1423982201
Селище;РИБАЦЬКЕ;1423982202
Село;ЧЕРВОНЕ;1423982203
Село;ШИРОКА БАЛКА;1423982204
Село;КОМИШУВАТЕ;1423983301
Село;ДЕМ'ЯНІВКА;1423983302
Село;УКРАЇНКА;1423983303
Село;МЕЛЕКІНЕ;1423984401
Село;БІЛОСАРАЙСЬКА КОСА;1423984402
Село;БУРЯКОВА БАЛКА;1423984403
Село;ГЛИБОКЕ;1423984404
Село;ОГОРОДНЄ;1423984405
Село;ПОРТІВСЬКЕ;1423984406
Село;УРЗУФ;1423985501
Село;БАБАХ-ТАРАМА;1423985502
Село;СТАРОДУБІВКА;1423986601
Село;ЗАХАРІВКА;1423986602
Місто;МИКОЛАЇВКА;1424210800
Село;ВАСЮТИНСЬКЕ;1424210801
Село;МАЛИНІВКА;1424210802
Село;НИКОНОРІВКА;1424210803
Село;ОРІХУВАТКА;1424210804
Село;ПЕРШОМАР'ЇВКА;1424210805
Село;ПИСКУНІВКА;1424210806
Село;РАЙ-ОЛЕКСАНДРІВКА;1424210807
Село;СТАРОДУБІВКА;1424210808
Село;ТИХОНІВКА;1424210809
Село;ЮРКІВКА;1424210810
СМТ;АНДРІЇВКА;1424255300
СМТ;БИЛБАСІВКА;1424255600
Село;ТОРЕЦЬ;1424255680
СМТ;ДОНЕЦЬКЕ;1424255900
СМТ;РАЙГОРОДОК;1424256200
Село;КАРПІВКА;1424256201
Село;СЕЛЕЗНІВКА;1424256202
СМТ;ЧЕРКАСЬКЕ;1424256500
Село;ІВАНІВКА;1424256501
Село;НОВОМИКОЛАЇВКА;1424256502
Село;МАЙДАН;1424256503
Село;МАЯЧКА;1424256504
Село;ШНУРКИ;1424256505
Село;НОВОСЕЛІВКА;1424256506
Село;ОЛЕКСАНДРІВКА;1424256507
Село;ПРЕЛЕСНЕ;1424256508
Село;ПРИВІЛЛЯ;1424256509
Село;ТРОЇЦЬКЕ;1424256510
Село;АНДРІЇВКА;1424280501
Село;ВАРВАРІВКА;1424280502
Село;НОВОАНДРІЇВКА;1424280503
Село;РОГАНСЬКЕ;1424280504
Село;СЕРГІЇВКА;1424280505
Село;ДМИТРІВКА;1424281001
Село;ДОЛИНА;1424281501
Село;БОГОРОДИЧНЕ;1424281502
Село;КРАСНОПІЛЛЯ;1424281503
Село;МАЗАНІВКА;1424281504
Село;ХРЕСТИЩЕ;1424282401
Село;АДАМІВКА;1424282403
Село;ГЛИБОКА МАКАТИХА;1424282405
Село;МИКІЛЬСЬКЕ;1424282407
Село;МАЯКИ;1424284601
Село;ПРИШИБ;1424284602
Село;СИДОРОВЕ;1424284603
Село;ТЕТЯНІВКА;1424284604
Селище;МИРНЕ;1424284701
Місто;КАЛЬМІУСЬКЕ;1424510400
СМТ;СТАРОБЕШЕВЕ;1424555100
СМТ;НОВИЙ СВІТ;1424555400
Село;ОЛЕКСАНДРІВКА;1424580501
Село;АНДРІЇВКА;1424580502
Село;ВОЗНЕСЕНКА;1424580503
Село;ГОРБАТЕНКО;1424580505
Село;СВІТЛЕ;1424580507
Село;ЧУМАКИ;1424580509
Село;САРАБАШ;1424581201
Село;КАМ'ЯНКА;1424581202
Село;ПІЩАНЕ;1424581203
Село;КУМАЧОВЕ;1424581801
Село;БЕРЕСТОВЕ;1424581802
Село;ВИШНЕВЕ;1424581803
Село;ГЛИНКА;1424581804
Село;КУЛЬТУРА;1424581805
Село;ЛУЖКИ;1424581806
Село;ПОБЄДА;1424581807
Село;СВІТЛИЙ ЛУЧ;1424581808
Село;ШЕВЧЕНКО;1424581809
Село;МАР'ЯНІВКА;1424582401
Селище;МАНЖИКІВ КУТ;1424582402
Селище;ВЕРЕЗАМСЬКЕ;1424582403
Селище;МЕНЧУГОВЕ;1424582404
Село;НОВОБЕШЕВЕ;1424582405
Село;НОВОСЕЛІВКА;1424582406
Село;ОБІЛЬНЕ;1424582407
Село;ПРИДОРОЖНЄ;1424582409
Село;НОВОЗАР'ЇВКА;1424583501
Село;АНДРІЇВКА;1424583502
Селище;БУРНЕ;1424583503
Село;ВЕСЕЛЕ;1424583504
Село;КАМ'ЯНЕ;1424583505
Село;ЗЕЛЕНЕ;1424583506
Селище;КОЛОСКИ;1424583507
Село;ВЕРХОКАМ'ЯНКА;1424583508
Село;КАМ'ЯНКА;1424583509
Село;ШИРОКЕ;1424583510
Село;НОВОКАТЕРИНІВКА;1424584601
Село;БЕРЕГОВЕ;1424584602
Село;ЛЮБІВКА;1424584603
Село;ПРОХОРІВСЬКЕ;1424584605
Село;РЕБРИКОВЕ;1424584606
Селище;СТРОЇТЕЛЬ;1424584608
Село;ШЕВЧЕНКО;1424584609
Село;ШМІДТА;1424584610
Село;ОСИКОВЕ;1424585701
Село;ПЕТРІВСЬКЕ;1424586001
Село;ПІДГІРНЕ;1424586003
Селище;ЗЕРНОВЕ;1424586005
Селище;РОДНИКОВЕ;1424586007
Селище;КИПУЧА КРИНИЦЯ;1424586009
Село;РОЗДОЛЬНЕ;1424586801
Село;ВАСИЛІВКА;1424586802
Село;СОНЦЕВЕ;1424587501
Село;КРАСНОПІЛЛЯ;1424587504
Село;НОВОМИХАЙЛІВКА;1424587505
Село;СТИЛА;1424587901
Село;ПЕТРІВСЬКЕ;1424587903
СМТ;БОЙКІВСЬКЕ;1424855100
Село;ЗЕРНОВЕ;1424855101
Село;КОНЬКОВЕ;1424881901
Село;ІВАНІВКА;1424881902
Село;БІЛОКРИНИЧНЕ;1424881903
Село;ОЛЕКСАНДРІВСЬКЕ;1424881904
Село;САМСОНОВЕ;1424881905
Село;КУЗНЕЦОВО-МИХАЙЛІВКА;1424882401
Село;КОТЛЯРЕВСЬКЕ;1424882402
Село;ЛУКОВЕ;1424882901
Село;ГРИГОРІВКА;1424882902
Село;ЗАПОРОЖЕЦЬ;1424882903
Село;КАПЛАНИ;1424882904
Село;МИКОЛАЇВКА;1424882905
Село;ПЕТРІВСЬКЕ;1424882906
Село;ТАВРИЧЕСЬКЕ;1424882907
Село;ШЕВЧЕНКО;1424882908
Село;МИХАЙЛІВКА;1424883201
Село;ГРЕКОВО-ОЛЕКСАНДРІВКА;1424883202
Село;ЗЕЛЕНИЙ ГАЙ;1424883203
Село;ЗОРІ;1424883204
Село;НОВООЛЕКСАНДРІВКА;1424883205
Село;ЛАВРИНОВЕ;1424883206
Село;САДКИ;1424883207
Село;ТЕРНІВКА;1424883208
Село;МІЧУРІНЕ;1424883601
Село;БОГДАНІВКА;1424883602
Село;ВЕРШИНІВКА;1424883603
Село;МАЙОРОВЕ;1424883604
Село;НОВА МАР'ЇВКА;1424883605
Село;ЧИРИЛЯНСЬКЕ;1424883606
Село;ПЕРВОМАЙСЬКЕ;1424883607
Село;РОЗІВКА;1424883608
Село;ПЕРВОМАЙСЬКЕ;1424885901
Село;ВОЛЯ;1424885902
Село;ЧЕРЕВКІВСЬКЕ;1424885903
Село;СВОБОДНЕ;1424886401
Село;ДЕРСОВЕ;1424886402
Село;ЧУМАК;1424886403
Село;СТАРОЛАСПА;1424887101
Село;БІЛА КАМ'ЯНКА;1424887102
Село;НОВОЛАСПА;1424887103
Село;ВЕЛИКА ШИШІВКА;1425280501
Село;ТЕРНОВЕ;1425280502
Село;ШАПОШНИКОВЕ;1425280503
Село;ГРАБОВЕ;1425281201
Селище;БАЛОЧНЕ;1425281202
Село;РІВНЕ;1425281203
Село;ДМИТРІВКА;1425282301
Село;ВЕРХНІЙ КУТ;1425282302
Село;ДІБРІВКА;1425282303
Село;ЗРУБНЕ;1425282304
Селище;КОЖЕВНЯ;1425282305
Село;ЛАТИШЕВЕ;1425282306
Село;ПЕРЕДЕРІЄВЕ;1425282307
Село;РОЗСИПНЕ;1425282308
Село;ЧУГУНО-КРЕПИНКА;1425282309
Село;ЗОЛОТАРІВКА;1425283401
Село;ДУБІВКА;1425283402
Село;НОВОМИКОЛАЇВКА;1425283403
Село;НОВОПЕЛАГІЇВКА;1425283404
Село;МАЛООРЛІВКА;1425284501
Село;КОМИШАТКА;1425284502
Село;НОВООРЛІВКА;1425284503
Селище;СЛАВНЕ;1425284504
Село;ШЕВЧЕНКО;1425284505
Село;МАНУЙЛІВКА;1425284701
Село;ПЕТРІВСЬКЕ;1425284703
Село;НІКІШИНЕ;1425285601
Село;ВЕСЕЛЕ;1425285602
Село;КРУГЛИК;1425285604
Селище;КУМШАЦЬКЕ;1425285605
Селище;РІДКОДУБ;1425285606
Село;ОРЛОВО-ІВАНІВКА;1425286001
Село;МИХАЙЛІВКА;1425286003
Селище;СТЕПНЕ;1425286006
Село;ПЕТРОПАВЛІВКА;1425286701
Село;КРАСНИЙ ЛУЧ;1425286702
Селище;ПОЛЬОВЕ;1425286705
Село;СТІЖКОВЕ;1425286707
Село;РОЗСИПНЕ;1425286801
Село;ВІДРОДЖЕННЯ;1425286803
Село;СТРЮКОВЕ;1425286805
Село;ТИМОФІЇВКА;1425286807
Село;РОЗІВКА;1425286901
Село;ШЕВЧЕНКО;1425286903
Селище;САДОВЕ;1425287801
Селище;ЗАРОЩЕНСЬКЕ;1425287802
Селище;ЗАХАРЧЕНКО;1425287803
Селище;ЗАЧАТІВКА;1425287804
Селище;МОЛОДЕЦЬКЕ;1425287805
Село;СТЕПАНІВКА;1425288201
Село;МАРИНІВКА;1425288202
Село;САУРІВКА;1425288204
Село;ТАРАНИ;1425288205
Село;ЧЕРВОНА ЗОРЯ;1425288206
СМТ;ВЕРХНЬОТОРЕЦЬКЕ;1425555200
Село;ВАСИЛІВКА;1425555201
Селище;БЕТМАНОВЕ;1425555202
Село;ТРОЇЦЬКЕ;1425555203
СМТ;ЖЕЛАННЕ;1425555300
Селище;ВОСХОД;1425555301
СМТ;КЕРАМІК;1425555600
СМТ;ОЧЕРЕТИНЕ;1425555900
Село;КРАСНОГОРІВКА;1425582101
Село;ВЕСЕЛЕ;1425582102
Селище;КАМ'ЯНКА;1425582103
Село;НОВОСЕЛІВКА ДРУГА;1425582104
Село;НОВОБАХМУТІВКА;1425583101
Село;НОВОСЕЛІВКА ПЕРША;1425583201
Село;МЕЖОВЕ;1425583203
Село;НОВОПОКРОВСЬКЕ;1425583204
Село;СКУЧНЕ;1425583205
Село;ОРЛІВКА;1425584301
Село;БЕРДИЧІ;1425584302
Селище;ЛАСТОЧКИНЕ;1425584303
Селище;СТЕПОВЕ;1425584304
Село;СЕМЕНІВКА;1425584305
Село;ТОНЕНЬКЕ;1425584306
Село;УМАНСЬКЕ;1425584307
Село;ЯСНОБРОДІВКА;1425584308
Село;ПЕРВОМАЙСЬКЕ;1425585401
Селище;НЕВЕЛЬСЬКЕ;1425585402
Село;НЕТАЙЛОВЕ;1425585403
Селище;ПІСКИ;1425585601
Село;ВОДЯНЕ;1425585602
Селище;ЛОЗОВЕ;1425585603
Селище;СЄВЕРНЕ;1425585604
Село;ОЛЕКСАНДРОПІЛЬ;1425586501
Село;НОВОСЕЛІВКА;1425586503
Село;ПАНТЕЛЕЙМОНІВКА;1425586504
Село;СОЛОВЙОВЕ;1425587301
Село;АРХАНГЕЛЬСЬКЕ;1425587303
Село;НОВОБАХМУТІВКА;1425587305
Село;НОВОКАЛИНОВЕ;1425587307
Село;СОКІЛ;1425587309
Село;СПАРТАК;1425587601
Село;ВЕСЕЛЕ;1425587602
Селище;КАШТАНОВЕ;1425587603
Селище;КРУТА БАЛКА;1425587604
Селище;МІНЕРАЛЬНЕ;1425587605
Селище;ОПИТНЕ;1425587606
Село;ЯКОВЛІВКА;1425587607
Місто;БЕРДИЧІВ;1810400000
Місто;КОРОСТЕНЬ;1810700000
Місто;МАЛИН;1810900000
Місто;НОВОГРАД-ВОЛИНСЬКИЙ;1811000000
Село;МАЙСТРІВ;1811090001
Село;МАЙСТРОВА ВОЛЯ;1811090002
Село;МАКОВИЦІ;1811090003
Місто;АНДРУШІВКА;1820310100
СМТ;ЧЕРВОНЕ;1820355600
Село;ВЕЛИКІ МОШКІВЦІ;1820355601
Село;ГЛИНІВЦІ;1820355602
Село;ЗАБАРА;1820355603
Село;КОТІВКА;1820355604
Село;КРИЛІВКА;1820355605
Село;МАЛІ МОШКІВЦІ;1820355606
Село;АНТОПІЛЬ;1820380401
Село;БРОВКИ ПЕРШІ;1820380801
Село;ЯРЕШКИ;1820380802
Село;ВОЛИЦЯ;1820381601
Село;ВОЛОСІВ;1820382001
Село;ГРАДА;1820382003
Село;ГАЛЬЧИН;1820382401
Село;ГОРОДКІВКА;1820383201
Село;ЗАРУБИНЦІ;1820384001
Село;ЛІСІВКА;1820384002
Село;ТАРАСІВКА;1820384003
Село;ІВАНКІВ;1820384401
Село;ІВНИЦЯ;1820384801
Село;БОРОК;1820384802
Село;КАМЕНІ;1820385301
Село;БРОВКИ ДРУГІ;1820385302
Село;ЖЕРДЕЛІ;1820385303
Село;ЛЕБЕДИНЦІ;1820386001
Село;ЛЮБИМІВКА;1820386201
Село;МАЛА П'ЯТИГІРКА;1820386801
Село;МІНЬКІВЦІ;1820387001
Село;ГОРОДИЩЕ;1820387002
Село;МОСТОВЕ;1820387201
Село;НЕХВОРОЩ;1820387401
Село;НОВА КОТЕЛЬНЯ;1820387501
Селище;НОВОІВНИЦЬКЕ;1820387601
Село;ПАВЕЛКИ;1820387801
Село;ГАРАПІВКА;1820387802
Село;СТАРА КОТЕЛЬНЯ;1820388301
Село;СТАРОСІЛЛЯ;1820388302
Село;СТЕПОК;1820388601
Село;КОРЧМИЩЕ;1820388602
Село;ЯРОПОВИЧІ;1820389001
Місто;БАРАНІВКА;1820610100
СМТ;ПОЛЯНКА;1820610101
Село;БЕРЕСТІВКА;1820610102
Село;БУДИСЬКО;1820610103
Село;ВИШНІВКА;1820610104
Село;ВІРЛЯ;1820610105
Село;ВОЛОДИМИРІВКА;1820610106
Село;ГЛИБОЧОК;1820610107
Село;ГРИНЬКИ;1820610108
Село;ДЕРЕВИЩИНА;1820610109
Село;ЖАРИ;1820610110
Село;ЗЕРЕМЛЯ;1820610111
Село;ЗРУБОК;1820610112
Село;ІВАНІВКА;1820610113
Село;ЙОСИПІВКА;1820610114
Село;КАШПЕРІВКА;1820610115
Село;КЛИМЕНТІЇВКА;1820610116
Село;ЛІСОВЕ;1820610117
Село;МАРКІВКА;1820610118
Село;МИРОСЛАВЛЬ;1820610119
Село;МЛИНИ;1820610120
Село;ОЗЕРЯНКА;1820610121
Село;ОСТРОЖОК;1820610122
Село;РОГАЧІВ;1820610123
Село;РУДНЯ;1820610124
Село;СЕРЕДНЯ;1820610125
Село;СИТИСЬКО;1820610126
Село;СМОЛДИРІВ;1820610127
Село;СМОЛКА;1820610128
Село;СТАРА ГУТА;1820610129
Село;СУЄМЦІ;1820610130
Село;ТАБОРИ;1820610131
Село;ЯВНЕ;1820610132
Село;ЯЛИШІВ;1820610133
СМТ;ДОВБИШ;1820655400
Село;АДАМІВКА;1820655401
Село;ЛІСОВА ПОЛЯНА;1820655402
Село;ЛЮБАРСЬКА ГУТА;1820655403
Село;НАТАЛІЯ;1820655404
Село;ОСИЧНЕ;1820655405
СМТ;МАР'ЯНІВКА;1820655406
Село;ДОРОГАНЬ;1820655407
Село;ЗЯТИНЕЦЬ;1820655408
Село;ОЖГІВ;1820655409
Село;ТУРОВА;1820655410
СМТ;КАМ'ЯНИЙ БРІД;1820655700
Село;ДІБРІВКА;1820655701
Село;ЖОВТЕ;1820655702
Село;ТАРТАК;1820655703
Село;ЧЕРВОНОДВІРКА;1820655704
СМТ;ПЕРШОТРАВЕНСЬК;1820656000
Село;ДУБРІВКА;1820681801
Село;ЗІРКА;1820681802
Село;КРАСУЛЯ;1820681803
Село;ГЛИНЯНКА;1820681804
Село;ВЕРЕСНА;1820681805
Село;ЗАБАРА;1820681806
Село;ЗАКРИНИЧЧЯ;1820681807
Село;ЗЕЛЕНИЙ ГАЙ;1820681808
Село;МОКРЕ;1820681809
Село;РАДУЛИН;1820681810
Село;СТОВПИ;1820681811
Село;ХИЖІВКА;1820681812
СМТ;ГРИШКІВЦІ;1820855300
Село;АГАТІВКА;1820855301
Село;ГАЛЬЧИН;1820855302
Село;ГВІЗДАВА;1820855303
Село;ДУБОВА;1820855304
Село;ЖУРБИНЦІ;1820855305
Село;КУКІЛЬНЯ;1820855306
Село;НИКОНІВКА;1820855307
Село;НОВИЙ СОЛОТВИН;1820855308
Село;ОСИКОВЕ;1820855309
Село;ПОЛОВЕЦЬКЕ;1820855310
Село;РЕЯ;1820855311
Село;СКАКІВКА;1820855312
Село;СТАРИЙ СОЛОТВИН;1820855313
Село;СЬОМАКИ;1820855314
Село;ХМЕЛИЩЕ;1820855315
Селище;ХМЕЛЬОВЕ;1820855316
Село;АНДРІЯШІВКА;1820880201
Село;БУРЯКИ;1820880301
Село;БИСТРИК;1820880601
Село;ЖИТИНЦІ;1820880602
Село;ВЕЛИКІ НИЗГІРЦІ;1820880901
Село;НОВА ОЛЕКСАНДРІВКА;1820880902
Село;ВЕЛИКА П'ЯТИГІРКА;1820881201
Село;ЛЮБОМИРКА;1820881202
Село;МИРНЕ;1820881203
Село;ЛІСОВЕ;1820881204
Село;ГАРДИШІВКА;1820881801
Село;КУСТИН;1820881802
Село;ЗАКУТИНЦІ;1820882101
Село;МАЛІ ГАДОМЦІ;1820882102
Село;СИНГАЇВКА;1820882103
Село;ІВАНКІВЦІ;1820882401
Село;СЕМЕНІВКА;1820882402
Село;КРАСІВКА;1820883001
Село;ДУБІВКА;1820883002
Село;МАЛОСІЛКА;1820883301
Селище;БЕРІЗКИ;1820883302
Село;МАРКУШІ;1820883601
Село;ОБУХІВКА;1820883602
Село;МИРОСЛАВКА;1820883901
Село;ДЕМЧИН;1820883902
Село;ОЗАДІВКА;1820884501
Село;БОГДАНІВКА;1820884502
Село;КОСТЯНТИНІВКА;1820884503
Село;ЛІСОВА СЛОБІДКА;1820884504
Село;РОМАНІВКА;1820885001
Село;БЕНЕДІВКА;1820885002
Село;РАЙГОРОДОК;1820885201
Село;ЛЕМЕШІ;1820885203
Село;МАРТИНІВКА;1820885204
Село;РАЙКИ;1820885301
Село;САДКИ;1820885601
Село;ВЕЛИКІ ГАДОМЦІ;1820885602
Село;СКРАГЛІВКА;1820886001
Село;ПІДГОРОДНЕ;1820886002
Село;СЛОБОДИЩЕ;1820886301
Село;ТЕРЕХОВЕ;1820886801
Село;КИКИШІВКА;1820886802
Село;ХАЖИН;1820887201
Село;ШВАЙКІВКА;1820887701
Село;КАТЕРИНІВКА;1820887702
СМТ;БРУСИЛІВ;1820955100
Село;БИКІВ;1820955101
Село;БОЛЯЧІВ;1820955102
Село;ВІЛЬШКА;1820955103
Село;ВОДОТИЇ;1820955104
Село;ДИВИН;1820955105
Село;ДОЛИНІВКА;1820955106
Село;ДУБРІВКА;1820955107
Село;ЗАПАДНЯ;1820955108
Село;КАРАБАЧИН;1820955109
Село;КОВГАНІВКА;1820955110
Село;КРАКІВЩИНА;1820955111
Село;ЛАЗАРІВКА;1820955112
Село;МАЛИНІВКА;1820955113
Село;МАР'ЯНІВКА;1820955114
Село;МІСТЕЧКО;1820955115
